Land;Postleitzahl;Zusatzzahl;Ort;Amtliche Gemeindeverzeichnis ID
CH;1000;0;Lausanne;0
CH;1000;1;Lausanne 1 DÇpìt;0
CH;1000;2;Lausanne 2;0
CH;1000;3;Lausanne 3;0
CH;1000;6;Lausanne 6;0
CH;1000;7;Lausanne 7;0
CH;1000;8;Lausanne 8;0
CH;1000;12;Lausanne 12;0
CH;1000;14;Lausanne 14;0
CH;1000;16;Lausanne 16;0
CH;1000;17;Lausanne 17;0
CH;1000;19;Lausanne 19;0
CH;1000;20;Lausanne 20;0
CH;1000;21;Lausanne 21;0
CH;1000;22;Lausanne 22;0
CH;1000;23;Lausanne 23;0
CH;1000;24;Lausanne 24;0
CH;1000;25;Lausanne 25;0
CH;1000;26;Lausanne 26;0
CH;1000;27;Lausanne 27;0
CH;1000;60;Lausanne Dist;0
CH;1000;61;Lausanne CT;0
CH;1000;65;Lausanne Swisscom;0
CH;1001;1;Lausanne;0
CH;1001;30;Lausanne Sozialb.;0
CH;1001;49;Lausanne PF331-120;0
CH;1001;50;Lausanne PF331-130;0
CH;1001;51;Lausanne PF331-140;0
CH;1001;52;Lausanne Jurassien;0
CH;1002;0;Lausanne;0
CH;1003;0;Lausanne;0
CH;1003;46;Lausanne Centre;0
CH;1003;69;Lausanne PF;0
CH;1004;0;Lausanne;0
CH;1005;0;Lausanne;0
CH;1006;0;Lausanne;0
CH;1006;47;Lausanne Ouchy;0
CH;1007;0;Lausanne;0
CH;1008;0;Prilly;0
CH;1008;2;Jouxtens-MÇzery;0
CH;1009;0;Pully;0
CH;1010;0;Lausanne;0
CH;1011;0;Lausanne;0
CH;1012;0;Lausanne;0
CH;1014;0;Lausanne Adm cant;0
CH;1015;0;Lausanne;0
CH;1017;0;Lausanne Veillon;0
CH;1018;0;Lausanne;0
CH;1019;0;Lausanne;0
CH;1020;0;Renens VD;0
CH;1020;1;Renens VD 1;0
CH;1020;2;Renens VD 2;0
CH;1020;47;Renens Gare CFF;0
CH;1020;60;Renens VD 1 Dist;0
CH;1022;0;Chavannes-Renens;0
CH;1023;0;Crissier;0
CH;1023;1;Crissier 1;0
CH;1023;2;Crissier 2;0
CH;1023;60;Crissier 1 Dist;0
CH;1024;0;Ecublens VD;0
CH;1025;0;St-Sulpice VD;0
CH;1026;0;Echandens-Denges;0
CH;1026;2;Denges;0
CH;1026;3;Echandens;0
CH;1027;0;Lonay;0
CH;1028;0;PrÇverenges;0
CH;1029;0;Villars-Ste-Croix;0
CH;1030;0;Bussigny-Lausanne;0
CH;1030;60;Bussigny-p-L Dist;0
CH;1031;0;Mex VD;0
CH;1032;0;Romanel-s-Lausanne;0
CH;1032;47;Romanel Shell;0
CH;1033;0;Cheseaux-Lausanne;0
CH;1033;60;Cheseaux Dist;0
CH;1034;0;Boussens;0
CH;1035;0;Bournens;0
CH;1036;0;Sullens;0
CH;1037;0;Etagniäres;0
CH;1038;0;Bercher;0
CH;1039;0;Cheseaux Polyval;0
CH;1040;0;Echallens;0
CH;1040;2;Villars-le-Terroir;0
CH;1040;3;St-BarthÇlemy VD;0
CH;1040;60;Echallens Dist;0
CH;1041;21;Dommartin;0
CH;1041;22;Montaubion-Chardon;0
CH;1041;26;Naz;0
CH;1041;31;Poliez-le-Grand;0
CH;1041;32;Poliez-Pittet;0
CH;1041;33;Bottens;0
CH;1042;0;Assens;0
CH;1042;3;Bioley-Orjulaz;0
CH;1042;4;Bettens;0
CH;1043;0;Sugnens;0
CH;1044;0;Fey;0
CH;1045;0;Ogens;0
CH;1046;0;Rueyres;0
CH;1047;0;Oppens;0
CH;1052;0;Mont-sur-Lausanne;0
CH;1052;60;Mont-Lausanne Dist;0
CH;1053;0;Cugy VD;0
CH;1053;2;Bretigny-Morrens;0
CH;1054;0;Morrens VD;0
CH;1055;0;Froideville;0
CH;1058;0;Villars-Tiercelin;0
CH;1059;0;Peney-le-Jorat;0
CH;1061;0;Villars-Mendraz;0
CH;1062;0;Sottens;0
CH;1063;0;Chapelle-s-Moudon;0
CH;1063;2;Martherenges;0
CH;1063;3;Boulens;0
CH;1063;4;Peyres-Possens;0
CH;1066;0;Epalinges;0
CH;1066;60;Epalinges Dist;0
CH;1068;0;Les Monts-de-Pully;0
CH;1070;0;Puidoux;0
CH;1071;0;Chexbres;0
CH;1071;1;Rivaz;0
CH;1071;2;St-Saphorin-Lavaux;0
CH;1071;60;Chexbres Dist;0
CH;1072;0;Forel (Lavaux);0
CH;1073;0;Savigny;0
CH;1073;2;Mollie-Margot;0
CH;1076;0;Ferlens VD;0
CH;1077;0;Servion;0
CH;1078;0;Essertes;0
CH;1080;0;Les Cullayes;0
CH;1081;0;Montpreveyres;0
CH;1082;0;Corcelles-le-Jorat;0
CH;1083;0;MÇziäres VD;0
CH;1084;0;Carrouge VD;0
CH;1085;0;Vulliens;0
CH;1088;0;Ropraz;0
CH;1090;0;La Croix (Lutry);0
CH;1091;0;Grandvaux;0
CH;1091;1;Aran;0
CH;1091;3;Chenaux;0
CH;1092;0;Belmont-Lausanne;0
CH;1093;0;La Conversion;0
CH;1094;0;Paudex;0
CH;1095;0;Lutry;0
CH;1095;60;Lutry Distribution;0
CH;1096;0;Cully;0
CH;1096;2;Villette (Lavaux);0
CH;1097;0;Riex;0
CH;1098;0;Epesses;0
CH;1110;0;Morges;0
CH;1110;1;Morges 1;0
CH;1110;2;Morges 2;0
CH;1110;3;Morges 3;0
CH;1110;60;Morges Dist;0
CH;1112;0;Echichens;0
CH;1113;0;St-Saphorin-Morges;0
CH;1114;0;Colombier VD;0
CH;1115;0;Vullierens;0
CH;1116;0;Cottens VD;0
CH;1117;0;Grancy;0
CH;1121;0;Bremblens;0
CH;1122;0;Romanel-sur-Morges;0
CH;1123;0;Aclens;0
CH;1124;0;Gollion;0
CH;1125;0;Monnaz;0
CH;1126;0;Vaux-sur-Morges;0
CH;1127;0;Clarmont;0
CH;1128;0;Reverolle;0
CH;1131;0;Tolochenaz;0
CH;1132;0;Lully VD;0
CH;1134;0;Vufflens-ChÉteau;0
CH;1134;2;Chigny;0
CH;1135;0;Denens;0
CH;1136;0;Bussy-Chardonney;0
CH;1141;0;SÇvery;0
CH;1142;0;Pampigny;0
CH;1143;0;Apples;0
CH;1144;0;Ballens;0
CH;1145;0;Biäre;0
CH;1145;75;Biäre Caserne;0
CH;1146;0;Mollens VD;0
CH;1147;0;Montricher;0
CH;1148;0;L'Isle;0
CH;1148;2;Mauraz;0
CH;1148;3;Villars-Bozon;0
CH;1148;4;Cuarnens;0
CH;1148;5;Mont-la-Ville;0
CH;1148;6;La Praz;0
CH;1148;7;Chavannes-Veyron;0
CH;1148;8;Moiry VD;0
CH;1148;9;La Coudre;0
CH;1149;0;Berolle;0
CH;1162;0;St-Prex;0
CH;1162;60;St-Prex Dist;0
CH;1163;0;Etoy;0
CH;1164;0;Buchillon;0
CH;1165;0;Allaman;0
CH;1166;0;Perroy;0
CH;1167;0;Lussy-sur-Morges;0
CH;1168;0;Villars-sous-Yens;0
CH;1169;0;Yens;0
CH;1170;0;Aubonne;0
CH;1170;60;Aubonne Dist;0
CH;1172;0;Bougy-Villars;0
CH;1173;0;FÇchy;0
CH;1174;0;Montherod;0
CH;1174;2;Pizy;0
CH;1175;0;Lavigny;0
CH;1176;0;St-Livres;0
CH;1180;0;Rolle;0
CH;1180;2;Tartegnin;0
CH;1180;60;Rolle Distribution;0
CH;1182;0;Gilly;0
CH;1183;0;Bursins;0
CH;1184;0;Luins;0
CH;1184;1;Vinzel;0
CH;1185;0;Mont-sur-Rolle;0
CH;1186;0;Essertines-Rolle;0
